gid,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수,0.00,1.00,순위
다사5536,0,14,0,1,9,11,1,14,513,12659,0.71,0.29,240
다사7453,0,4,0,0,4,7,0,11,350,12381,0.71,0.29,241
다사5234,0,7,0,0,13,11,0,9,383,14302,0.71,0.29,242
다사4125,1,9,0,0,12,21,0,43,795,23159,0.72,0.28,243
다사5576,0,6,0,0,5,19,0,7,108,4881,0.72,0.28,244
다바6097,0,8,0,1,28,30,1,9,328,16105,0.72,0.28,245
다사3726,0,3,0,1,17,25,0,14,272,8566,0.72,0.28,246
다사4832,0,2,0,0,10,16,0,12,325,12973,0.72,0.28,247
다사5124,0,10,0,1,17,36,1,17,476,17197,0.72,0.28,248
다사3742,1,13,0,2,18,32,0,16,922,21232,0.73,0.27,249
다사6667,0,4,0,1,11,16,0,19,257,9468,0.73,0.27,250
다사3958,0,6,0,0,7,12,0,13,224,6567,0.73,0.27,251
다사6217,0,18,0,1,16,16,2,21,530,16735,0.73,0.27,252
다사6840,0,4,0,0,8,20,0,6,699,12311,0.73,0.27,253
다사4421,0,1,0,0,16,17,0,15,307,12010,0.73,0.27,254
다사5873,1,4,0,0,9,26,0,12,241,7702,0.74,0.26,255
다사7127,0,5,0,1,6,11,0,11,469,9492,0.74,0.26,256
다사3546,1,10,0,1,17,39,0,20,1083,26199,0.74,0.26,257
다사5921,0,4,0,1,11,11,0,7,188,5756,0.74,0.26,258
다사4634,0,4,0,0,6,21,0,14,419,12850,0.74,0.26,259
다사3069,0,2,0,0,8,10,0,9,385,11028,0.74,0.26,260
다사6223,0,14,0,1,9,14,1,22,1240,22369,0.75,0.25,261
다사5621,0,14,0,2,38,17,0,16,559,22093,0.75,0.25,262
다사7038,0,12,0,2,18,24,0,31,587,20754,0.75,0.25,263
다사4829,0,2,0,0,2,15,0,10,368,12547,0.75,0.25,264
다사3468,0,9,0,0,18,16,1,28,1387,21031,0.75,0.25,265
다바6198,1,2,0,0,8,13,0,12,348,9790,0.75,0.25,266
다아6202,1,6,0,1,9,9,0,8,158,5569,0.75,0.25,267
다사3922,1,8,0,0,5,9,0,14,634,13359,0.75,0.25,268
다사6080,0,6,0,0,10,10,0,7,156,5275,0.75,0.25,269
다바4188,0,1,0,0,14,15,0,7,105,4246,0.75,0.25,270
다사5119,0,10,0,1,14,13,0,17,1091,19114,0.75,0.25,271
다사6621,1,11,0,1,8,15,0,17,813,20804,0.75,0.25,272
다사6577,0,5,0,0,3,9,0,17,457,10369,0.75,0.25,273
다사6370,0,10,0,0,17,25,2,25,527,16226,0.75,0.25,274
다사6079,0,4,0,1,4,17,1,6,118,3984,0.76,0.24,275
다사2760,0,9,0,1,9,22,0,17,911,13621,0.76,0.24,276
다사5521,1,13,0,1,17,22,0,30,702,23935,0.76,0.24,277
다사3846,0,12,0,2,13,27,0,21,534,19928,0.76,0.24,278
다사5423,0,10,0,1,4,17,0,22,809,18672,0.76,0.24,279
다사8329,0,4,0,0,11,9,0,6,298,5980,0.76,0.24,280
다사5232,1,13,0,1,16,31,1,32,1143,27648,0.76,0.24,281
다사4241,0,15,0,1,17,21,0,19,916,25349,0.76,0.24,282
다사5327,0,5,1,0,6,23,0,11,505,12173,0.76,0.24,283
다사3229,0,0,0,0,4,11,2,11,341,10937,0.77,0.23,284
다사6517,0,4,0,1,10,16,0,6,529,11707,0.77,0.23,285
다사5970,0,4,1,0,40,33,2,25,908,25575,0.77,0.23,286
다사3169,0,7,0,0,6,14,0,22,711,11877,0.78,0.22,287
다사6830,0,8,0,1,7,26,0,13,483,13615,0.78,0.22,288
다사6278,0,2,0,0,2,14,0,4,66,2111,0.78,0.22,289
다사5134,0,8,0,0,10,18,0,7,424,16589,0.78,0.22,290
다사6324,0,9,0,0,11,38,0,29,1684,29475,0.78,0.22,291
다사4343,0,5,0,1,5,29,0,8,135,4622,0.78,0.22,292
다사4242,0,13,0,1,18,20,1,17,631,22443,0.78,0.22,293
다사3826,1,13,0,1,13,23,1,10,603,13600,0.78,0.22,294
