gid,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수,0,1,순위
다사5815,0,3,0,0,13,2,0,11,354,10091,0.68,0.32,166
다사3263,0,2,0,1,5,21,0,12,353,11211,0.68,0.32,167
다바6289,0,2,0,0,8,27,0,20,364,11768,0.68,0.32,168
다사4058,0,11,0,1,23,16,0,24,625,25232,0.69,0.31,169
다사2065,0,5,0,0,6,10,0,5,227,5356,0.69,0.31,170
다사6525,0,13,0,0,9,26,1,20,887,18850,0.69,0.31,171
다사6332,0,6,0,0,8,14,0,9,500,9401,0.7,0.3,172
다사5922,0,2,0,0,15,22,0,3,323,4235,0.7,0.3,173
다사5027,0,9,0,0,13,28,0,26,1080,27933,0.7,0.3,174
다사5821,0,7,0,1,13,15,0,16,313,13878,0.7,0.3,175
다사6861,0,13,0,1,11,20,1,20,418,16733,0.7,0.3,176
다사6070,0,5,0,1,23,14,1,10,346,16787,0.71,0.29,177
다사5536,0,14,0,1,9,11,1,14,513,12659,0.71,0.29,178
다사7453,0,4,0,0,4,7,0,11,350,12381,0.71,0.29,179
다사5234,0,7,0,0,13,11,0,9,383,14302,0.71,0.29,180
다사5576,0,6,0,0,5,19,0,7,108,4881,0.72,0.28,181
다바6097,0,8,0,1,28,30,1,9,328,16105,0.72,0.28,182
다사3726,0,3,0,1,17,25,0,14,272,8566,0.72,0.28,183
다사4832,0,2,0,0,10,16,0,12,325,12973,0.72,0.28,184
다사5124,0,10,0,1,17,36,1,17,476,17197,0.72,0.28,185
다사6667,0,4,0,1,11,16,0,19,257,9468,0.73,0.27,186
다사3958,0,6,0,0,7,12,0,13,224,6567,0.73,0.27,187
다사6217,0,18,0,1,16,16,2,21,530,16735,0.73,0.27,188
다사6840,0,4,0,0,8,20,0,6,699,12311,0.73,0.27,189
다사4421,0,1,0,0,16,17,0,15,307,12010,0.73,0.27,190
다사7127,0,5,0,1,6,11,0,11,469,9492,0.74,0.26,191
다사5921,0,4,0,1,11,11,0,7,188,5756,0.74,0.26,192
다사4634,0,4,0,0,6,21,0,14,419,12850,0.74,0.26,193
다사3069,0,2,0,0,8,10,0,9,385,11028,0.74,0.26,194
다사6223,0,14,0,1,9,14,1,22,1240,22369,0.75,0.25,195
다사5621,0,14,0,2,38,17,0,16,559,22093,0.75,0.25,196
다사7038,0,12,0,2,18,24,0,31,587,20754,0.75,0.25,197
다사4829,0,2,0,0,2,15,0,10,368,12547,0.75,0.25,198
다사3468,0,9,0,0,18,16,1,28,1387,21031,0.75,0.25,199
다사6080,0,6,0,0,10,10,0,7,156,5275,0.75,0.25,200
다바4188,0,1,0,0,14,15,0,7,105,4246,0.75,0.25,201
다사5119,0,10,0,1,14,13,0,17,1091,19114,0.75,0.25,202
다사6577,0,5,0,0,3,9,0,17,457,10369,0.75,0.25,203
다사6370,0,10,0,0,17,25,2,25,527,16226,0.75,0.25,204
다사6079,0,4,0,1,4,17,1,6,118,3984,0.76,0.24,205
다사2760,0,9,0,1,9,22,0,17,911,13621,0.76,0.24,206
다사3846,0,12,0,2,13,27,0,21,534,19928,0.76,0.24,207
다사5423,0,10,0,1,4,17,0,22,809,18672,0.76,0.24,208
다사8329,0,4,0,0,11,9,0,6,298,5980,0.76,0.24,209
다사4241,0,15,0,1,17,21,0,19,916,25349,0.76,0.24,210
다사5327,0,5,1,0,6,23,0,11,505,12173,0.76,0.24,211
다사3229,0,0,0,0,4,11,2,11,341,10937,0.77,0.23,212
다사6517,0,4,0,1,10,16,0,6,529,11707,0.77,0.23,213
다사5970,0,4,1,0,40,33,2,25,908,25575,0.77,0.23,214
다사3169,0,7,0,0,6,14,0,22,711,11877,0.78,0.22,215
다사6830,0,8,0,1,7,26,0,13,483,13615,0.78,0.22,216
다사6278,0,2,0,0,2,14,0,4,66,2111,0.78,0.22,217
다사5134,0,8,0,0,10,18,0,7,424,16589,0.78,0.22,218
다사6324,0,9,0,0,11,38,0,29,1684,29475,0.78,0.22,219
다사4343,0,5,0,1,5,29,0,8,135,4622,0.78,0.22,220
다사4242,0,13,0,1,18,20,1,17,631,22443,0.78,0.22,221
다사3470,0,7,0,0,21,18,0,33,1153,23466,0.79,0.21,222
다사4025,0,3,0,0,3,8,0,10,367,9889,0.79,0.21,223
다사6521,0,5,0,0,6,25,0,13,428,9038,0.79,0.21,224
다사6756,0,9,0,0,14,18,0,27,955,24943,0.79,0.21,225
다사6114,0,4,0,0,9,13,0,9,689,9452,0.79,0.21,226
다사3841,0,11,0,1,12,27,0,32,1207,30706,0.79,0.21,227
다사6119,0,4,0,0,6,20,0,9,969,13211,0.79,0.21,228
다사5216,0,5,0,0,6,16,0,15,548,10651,0.79,0.21,229
다사4122,0,2,0,1,11,24,0,7,124,7164,0.79,0.21,230
다사6069,0,12,0,1,16,15,1,31,860,24465,0.79,0.21,231
다사7417,0,2,0,0,10,15,0,4,119,4244,0.8,0.2,232
다사6625,0,8,0,0,13,39,0,16,927,20068,0.8,0.2,233
다사6088,0,12,1,1,19,29,1,27,677,17429,0.8,0.2,234
다사7067,0,4,0,0,5,11,0,4,166,6826,0.8,0.2,235
다사6526,0,8,0,0,16,34,1,19,785,18940,0.8,0.2,236
다사6511,0,9,0,0,12,14,0,23,1845,20179,0.8,0.2,237
다사6323,0,14,0,0,10,23,0,26,1832,34102,0.8,0.2,238
다사7371,0,3,0,0,5,16,0,11,350,7690,0.8,0.2,239
다사6118,0,0,0,0,14,17,0,10,307,8931,0.8,0.2,240
다사4465,0,3,0,0,6,13,0,4,132,5715,0.8,0.2,241
다사3739,0,3,0,0,10,21,0,9,731,11514,0.8,0.2,242
다사6935,0,3,0,1,5,25,0,11,328,6706,0.81,0.19,243
다사3465,0,2,0,1,11,33,0,10,225,9892,0.81,0.19,244
다사6518,0,3,0,0,7,14,0,10,470,11660,0.81,0.19,245
다사6015,0,12,0,1,15,17,0,35,874,22563,0.81,0.19,246
다사7083,0,3,0,0,11,11,0,5,173,5790,0.81,0.19,247
다사6212,0,10,0,1,9,18,0,16,949,14870,0.81,0.19,248
다사5871,0,2,0,1,11,19,0,10,423,11532,0.81,0.19,249
다사6111,0,11,0,0,11,23,0,29,1529,22461,0.81,0.19,250
다사4275,0,2,0,1,3,12,0,6,62,2297,0.81,0.19,251
다사2660,0,9,0,0,12,23,1,32,1059,22389,0.81,0.19,252
다사4834,0,8,0,2,10,25,0,5,466,14591,0.81,0.19,253
다사4325,0,1,0,0,9,15,0,9,296,9618,0.81,0.19,254
다사4828,0,2,0,0,3,10,0,11,267,9837,0.81,0.19,255
다사7351,0,3,0,0,19,4,0,12,1187,21326,0.81,0.19,256
다사3270,0,8,0,0,15,11,0,11,1543,17777,0.82,0.18,257
다사3825,0,13,0,0,12,19,0,31,1509,26117,0.82,0.18,258
다사4365,0,4,0,1,2,8,0,5,57,3615,0.82,0.18,259
다사3326,0,1,0,0,12,13,0,5,205,5996,0.82,0.18,260
다사6215,0,2,0,0,12,17,0,10,809,9951,0.82,0.18,261
다사6561,0,4,0,0,8,6,0,5,273,4546,0.82,0.18,262
다사4258,0,1,0,0,10,17,0,12,255,12775,0.82,0.18,263
다사5388,0,3,0,1,5,20,0,3,30,1622,0.82,0.18,264
다사8428,0,3,0,0,6,15,0,6,259,5994,0.82,0.18,265
다사4538,0,7,1,0,6,13,0,3,144,2941,0.82,0.18,266
다사5436,0,2,1,1,1,9,0,5,41,1133,0.82,0.18,267
다사4158,0,14,0,2,17,43,0,47,1305,39045,0.82,0.18,268
다사4331,0,3,0,0,16,12,0,18,827,13627,0.82,0.18,269
다사5213,0,3,0,0,4,20,0,6,385,7659,0.82,0.18,270
다사6017,0,2,0,0,10,6,0,5,23,1560,0.82,0.18,271
다바7089,0,6,0,1,9,17,0,14,607,11213,0.83,0.17,272
다사3570,0,4,0,0,3,7,0,6,324,5439,0.83,0.17,273
다바6490,0,1,0,0,13,16,0,5,636,8970,0.83,0.17,274
다사6507,0,6,0,0,9,9,0,13,1018,10565,0.83,0.17,275
다사7252,0,10,0,1,13,15,0,30,1713,29480,0.83,0.17,276
다사7736,0,2,0,0,6,13,0,4,319,7137,0.83,0.17,277
다사5033,0,9,0,1,6,16,0,26,988,26083,0.83,0.17,278
다바5993,0,0,0,0,15,0,0,1,89,1762,0.83,0.17,279
다사3785,0,5,0,0,4,12,0,8,657,7217,0.83,0.17,280
다사3648,0,4,0,0,3,13,0,7,216,4858,0.83,0.17,281
다사4583,0,2,0,1,1,13,0,6,24,2132,0.83,0.17,282
다사3563,0,11,0,2,18,12,0,29,793,26880,0.83,0.17,283
다사3762,0,5,0,0,10,21,1,15,400,16888,0.83,0.17,284
다사7632,0,8,0,1,8,15,0,28,730,12791,0.84,0.16,285
다사5811,0,2,0,0,10,13,0,12,126,3537,0.84,0.16,286
다사4269,0,5,0,0,4,13,0,3,171,5907,0.84,0.16,287
다사6232,0,6,0,1,10,14,0,10,660,11904,0.84,0.16,288
다사5716,0,8,0,1,16,20,0,16,734,11869,0.84,0.16,289
다사9916,0,3,0,0,8,21,0,11,411,6552,0.84,0.16,290
다사6107,0,4,0,0,8,14,1,11,477,9363,0.84,0.16,291
다사3761,0,8,0,0,15,27,0,22,691,22694,0.85,0.15,292
다사3363,0,6,0,0,14,16,0,5,761,12785,0.85,0.15,293
다사8015,0,4,0,0,5,5,0,4,54,3088,0.85,0.15,294
다바7390,0,0,0,0,12,11,0,1,115,3598,0.85,0.15,295
다사2261,0,6,0,0,11,13,0,16,578,9665,0.85,0.15,296
다사4323,0,5,0,1,19,22,0,15,347,16028,0.85,0.15,297
다사9917,0,2,0,0,9,14,0,6,360,6910,0.85,0.15,298
다사5611,0,3,0,1,1,11,0,6,311,5490,0.85,0.15,299
다사5217,0,4,0,0,7,22,0,10,531,5946,0.85,0.15,300
다사5433,0,3,0,0,8,15,0,15,484,11021,0.85,0.15,301
다사7726,0,5,0,1,7,11,0,3,126,4582,0.86,0.14,302
다사3555,0,3,0,0,8,12,0,10,491,10494,0.86,0.14,303
다사8527,0,4,0,0,6,7,0,6,93,3104,0.86,0.14,304
다사1961,0,4,0,1,3,11,0,3,33,1594,0.86,0.14,305
다사6939,0,11,0,2,13,21,1,25,556,16535,0.86,0.14,306
다사4560,0,2,0,0,6,15,0,4,368,4759,0.86,0.14,307
다사5316,0,2,0,0,6,20,0,5,209,5164,0.86,0.14,308
다사4835,0,3,0,1,7,13,0,9,423,12364,0.86,0.14,309
다사4732,0,3,0,0,4,14,0,4,261,9498,0.86,0.14,310
다사3920,0,6,0,0,10,4,0,8,779,7781,0.86,0.14,311
