gid,심야약국,응급실,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수
다사5156,0,0,0,0,0,0,1,7,0,1,125,4731
다사5148,0,0,0,6,0,0,12,35,1,17,1178,28200
다사4740,0,0,0,14,0,0,18,24,0,22,743,30820
다사4645,0,0,0,14,0,0,15,34,2,17,1072,25967
다사5151,0,0,0,14,0,0,15,24,0,16,1261,22329
다사6542,0,0,0,0,0,0,1,7,0,0,38,1325
다사4248,0,0,0,13,0,0,25,45,2,20,1240,43806
다사6046,0,0,0,16,0,1,19,19,1,8,720,18023
다사6264,0,0,0,0,0,0,0,0,0,0,0,120
다사4752,0,0,0,13,0,1,13,21,0,20,1245,32049
다사4247,0,0,0,9,0,1,20,21,1,14,787,31193
다사5448,0,0,0,1,0,0,8,14,1,3,72,2725
다사6745,0,0,0,8,0,1,15,19,0,10,877,22315
다사5352,0,0,0,15,0,2,17,34,1,14,225,6202
다사3854,0,0,0,0,0,0,0,1,0,0,11,592
다사6250,0,0,0,16,0,0,20,25,2,11,560,23339
다사5652,0,1,1,39,0,3,24,35,3,1,76,7634
다사4955,0,0,0,14,0,1,11,17,0,13,1266,26333
다사5062,0,0,0,0,0,0,0,2,0,0,0,17
다사6848,0,0,0,23,0,0,29,26,1,16,1062,34985
다사5248,0,0,0,9,0,1,18,36,1,9,549,13611
다사5461,0,0,0,0,0,0,0,0,0,0,0,8
다사6640,0,0,0,0,0,0,0,2,0,0,0,9
다사6751,0,0,0,0,0,0,0,3,0,1,24,888
다사5841,0,0,0,4,0,0,5,27,0,7,299,6696
다사6451,0,0,0,0,0,0,2,8,0,1,110,3852
다사6147,0,0,0,0,0,0,1,0,0,0,9,322
다사5954,0,0,0,6,0,1,9,20,1,7,330,16851
다사5856,0,0,0,20,0,1,19,31,1,17,964,26418
다사6059,0,0,0,3,0,0,3,14,0,3,284,8025
다사7153,0,0,0,0,0,0,0,0,0,0,0,0
다사5247,0,0,0,17,0,0,11,24,2,6,548,11684
다사4446,1,0,1,5,0,0,10,29,0,8,736,26422
다사6146,0,0,0,3,0,1,7,10,1,4,309,7945
다사5550,0,0,0,0,0,0,3,5,0,0,28,1283
다사4847,0,0,0,5,0,0,11,12,1,9,132,3019
다사5563,0,0,0,0,0,0,0,0,0,0,0,0
다사6148,0,0,0,16,0,1,21,22,1,10,616,20654
다사6650,0,0,0,1,0,0,2,0,0,10,550,8741
다사3851,0,0,0,5,0,1,5,23,0,3,72,3936
다사6350,0,0,0,17,0,0,29,24,1,16,667,25303
다사5647,0,0,0,0,0,0,2,1,1,1,149,5077
다사6057,0,0,0,11,0,1,14,51,0,11,760,17888
다사6742,0,0,0,6,0,2,11,26,0,18,1127,21861
다사5454,0,0,0,0,0,0,1,13,0,1,22,1058
다사6359,0,0,0,0,0,0,0,2,0,0,0,0
다사6850,0,0,0,13,0,1,15,34,1,16,1951,40184
다사6349,0,0,0,9,1,1,20,18,0,13,872,31682
다사4756,0,0,0,4,0,0,8,23,0,4,489,16204
다사5759,0,1,1,25,0,1,34,45,1,10,702,31469
다사4745,0,0,0,17,0,0,17,45,0,14,1418,31905
다사4851,0,0,0,6,0,0,28,37,0,6,507,22152
다사6950,0,1,1,22,0,2,12,27,2,6,750,20769
다사4147,0,0,0,15,0,1,26,11,0,26,978,32196
다사7050,0,0,0,9,0,1,10,24,0,15,2447,31795
다사6053,0,1,1,16,0,1,23,26,3,16,820,24214
다사4650,0,0,0,0,0,0,4,5,0,1,66,2096
다사5754,1,0,1,15,0,1,35,38,4,11,377,23010
다사5250,0,0,0,13,0,0,18,23,0,13,1372,33706
다사5755,0,0,0,15,0,0,17,32,0,17,1110,34211
다사5048,0,0,0,0,0,0,2,1,0,0,40,1156
다사5342,0,0,0,16,0,1,27,18,2,15,901,37178
다사4840,0,0,0,5,0,1,4,16,0,12,567,16977
다사6052,0,0,0,15,0,1,23,29,1,15,1420,28842
다사5544,0,0,0,4,1,1,10,22,0,5,805,20009
다사5355,0,0,0,0,0,0,0,0,0,0,12,333
다사5648,0,1,1,11,0,1,13,23,0,3,389,10788
다사6550,0,0,0,1,0,0,3,5,0,1,118,3485
다사4640,0,0,0,7,0,0,25,21,0,17,1452,26691
다사6841,0,0,0,1,0,0,4,4,0,10,478,6341
다사5452,0,0,0,37,0,4,48,42,2,14,40,3882
다사4444,0,0,0,6,0,0,9,12,1,13,520,11773
다사4845,1,0,1,12,0,0,18,43,0,20,999,29998
다사4052,0,0,0,6,0,0,12,24,1,10,617,14631
다사7051,0,0,0,2,0,0,7,11,0,5,762,13326
다사6547,0,1,1,13,0,0,3,9,0,7,812,14418
다사5449,0,0,0,8,0,0,14,25,0,4,310,14811
다사6152,0,0,0,11,0,1,32,17,0,21,1350,36397
다사5640,0,0,0,0,0,0,0,0,0,0,0,81
다사5450,0,0,0,0,0,0,3,11,0,3,155,5748
다사4252,0,0,0,3,0,0,2,12,0,8,594,14210
다사6846,0,0,0,0,0,0,0,4,1,0,0,248
다사5147,0,0,0,1,0,0,4,5,1,2,165,5048
다사6242,0,0,0,0,0,0,1,2,0,2,217,6321
다사5664,0,0,0,0,0,0,0,0,0,0,0,0
다사6363,0,0,0,2,0,0,3,7,0,5,189,9841
다사6251,0,0,0,13,0,0,22,25,0,9,659,22120
다사6065,0,0,0,3,0,1,4,15,1,11,490,12348
다사4442,0,0,0,1,0,0,5,6,0,0,8,1994
다사4644,0,1,1,13,0,1,27,42,0,13,640,23733
다사5150,0,0,0,18,0,1,20,25,3,25,1820,30418
다사5646,0,0,0,3,0,0,3,9,1,4,583,15054
다사5045,0,0,0,21,0,1,18,38,1,14,893,30289
다사4643,0,0,0,21,0,3,27,31,2,21,837,26562
다사5842,0,0,0,12,0,0,9,15,2,2,146,3059
다사4848,0,0,0,1,0,0,2,3,0,3,9,393
다사6648,0,0,0,22,0,1,26,25,3,18,840,27856
