gid,심야약국,응급실,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수
라사1614,0,0,0,0,0,0,0,0,0,0,0,8
다사3343,0,0,0,8,0,1,17,36,1,17,644,12129
다사3678,0,0,0,0,0,0,2,9,0,1,0,393
다사2257,0,0,0,1,0,0,6,8,0,4,55,1418
라사0605,0,0,0,0,0,0,1,3,0,0,0,47
다사8772,0,0,0,0,0,0,0,10,0,0,8,188
다사8382,0,0,0,0,0,0,0,0,0,0,0,0
다사5898,0,0,0,0,0,0,0,3,0,0,0,14
다사4059,0,0,0,11,0,0,4,17,0,20,640,19437
다사5482,0,0,0,0,0,0,0,10,0,1,0,221
다바6597,0,0,0,0,0,0,0,0,0,0,0,7
다사4410,0,0,0,0,0,0,0,4,0,0,0,83
라사2640,0,0,0,0,0,0,0,0,0,0,0,0
다바7687,0,0,0,0,0,0,0,2,0,0,0,151
다아8020,0,0,0,0,0,0,0,0,0,0,0,13
다사5912,0,0,0,13,0,0,26,30,0,30,1098,27127
다사7124,0,0,0,0,0,0,0,1,0,0,0,68
다사9140,0,0,0,0,0,0,0,0,0,0,0,144
다사7902,0,0,0,0,0,0,0,0,0,0,0,59
다아5805,0,0,0,0,0,0,0,3,0,0,0,11
다사3215,0,0,0,0,0,0,0,5,0,1,0,190
다사8088,0,0,0,0,0,0,0,8,0,0,0,120
라사0635,0,0,0,0,0,0,0,3,0,0,0,183
라사1206,0,0,0,0,0,0,0,0,0,0,0,79
다아5910,0,0,0,0,0,0,0,0,0,0,0,0
다사6136,0,0,0,0,0,0,0,0,0,0,9,292
다바7984,0,0,0,0,0,0,0,2,0,0,0,83
다사2960,0,0,0,0,0,0,1,6,0,3,138,1518
다바4588,0,0,0,0,0,0,0,0,0,0,0,310
다사5609,0,0,0,0,0,0,0,2,0,0,0,37
다사7743,0,0,0,0,0,0,0,0,0,0,0,26
다바4694,0,0,0,0,0,0,0,3,0,0,6,137
다바5394,0,0,0,1,0,0,2,12,0,2,0,560
다사6289,0,0,0,0,0,0,0,8,0,3,31,1376
라사0631,0,0,0,0,0,0,0,2,0,0,0,226
다사7762,0,0,0,3,0,0,12,16,0,30,1081,22130
다사9248,0,0,0,0,0,0,0,4,0,0,9,353
다사7137,0,0,0,1,0,0,6,22,0,3,65,2849
다사4537,1,0,1,7,0,0,10,25,0,21,609,16047
다바5997,0,0,0,0,0,0,8,16,0,2,109,5170
다사5804,0,0,0,3,0,0,3,6,0,2,33,838
다사5307,0,0,0,0,0,0,5,7,0,0,9,670
다사6018,0,0,0,4,0,1,8,18,0,14,396,10804
다사7008,0,0,0,0,0,0,0,0,0,0,0,0
다사8072,0,0,0,0,0,0,0,2,0,0,0,15
다사2161,0,0,0,0,0,0,0,2,0,0,0,148
라사1635,0,0,0,0,0,0,0,2,0,0,0,64
다바9591,0,0,0,0,0,0,0,0,0,0,0,22
다사4789,0,0,0,0,0,0,0,0,0,0,0,32
다사6413,0,0,0,0,0,1,6,14,0,0,39,661
다바6389,0,0,0,3,0,0,9,16,0,7,327,10481
다사4778,0,0,0,0,0,0,0,5,0,0,0,114
다사9920,0,0,0,0,0,1,3,6,0,1,44,1007
라사0709,0,0,0,0,0,0,0,0,0,0,0,62
라사0510,0,0,0,0,0,0,0,2,0,0,0,128
다사2619,0,0,0,0,0,0,0,1,0,0,0,6
다바9290,0,0,0,0,0,0,0,0,0,0,0,37
라사0318,0,0,0,0,0,0,0,6,0,0,0,71
다사4581,0,0,0,0,0,0,0,2,0,0,0,88
다바8095,0,0,0,0,0,0,0,1,0,0,0,73
다사4694,0,0,0,0,0,0,0,2,0,1,0,218
다사6926,0,0,0,0,0,0,0,1,0,0,16,515
라사0356,0,0,0,0,0,0,0,0,0,0,0,19
다바6695,0,0,0,0,0,0,0,0,0,0,0,125
다바8784,0,0,0,0,0,0,0,0,0,0,0,18
다사4186,0,0,0,0,0,0,0,0,0,0,0,81
다사3613,0,0,0,0,0,0,1,3,0,0,0,208
다바4889,0,0,0,0,0,0,0,1,0,0,0,45
다사3881,0,0,0,0,0,0,0,1,0,0,0,167
다사8637,0,0,0,0,0,0,0,0,0,0,0,0
다아6612,0,0,0,0,0,0,0,2,0,0,0,26
다사7271,0,0,0,0,0,0,0,2,0,0,0,61
다사9515,0,0,0,0,0,0,2,4,0,1,0,68
다사3664,0,1,1,6,0,0,11,24,0,19,775,22482
다사8723,0,0,0,0,0,0,0,0,0,0,0,0
라사0905,0,0,0,0,0,0,0,6,0,0,0,125
다바6885,0,0,0,0,0,0,0,0,0,0,0,31
다사4709,0,0,0,0,0,0,0,2,0,0,0,285
다사6110,0,0,0,3,0,0,7,10,0,17,967,14765
다사8663,0,0,0,0,0,0,0,0,0,0,0,19
다사9631,0,0,0,0,0,0,0,2,0,0,0,55
다사4961,0,0,0,0,0,0,1,0,0,0,15,210
다사8104,0,0,0,0,0,0,0,1,0,0,0,38
다사3324,0,0,0,0,0,0,0,14,0,0,0,37
다바7887,0,0,0,0,0,0,0,1,0,0,0,227
다사8831,0,0,0,0,0,0,0,0,0,0,0,8
다사4070,0,0,0,0,0,0,0,2,0,2,48,1467
다사9712,0,0,0,0,0,0,0,1,0,0,0,7
다사6189,0,0,0,4,0,0,8,26,0,9,203,7006
다사6095,0,0,0,0,0,0,0,0,0,0,0,6
라사1321,0,0,0,0,0,0,1,2,0,0,0,236
라사2551,0,0,0,0,0,0,0,0,0,0,0,14
다사9148,0,0,0,0,0,0,0,0,0,0,0,68
라사0837,0,0,0,0,0,0,0,4,0,0,0,94
라사1340,0,0,0,0,0,0,0,4,0,0,0,136
다사6834,0,0,0,3,0,1,5,30,0,20,658,15410
다사7826,0,0,0,0,0,0,5,4,0,2,90,3139
다사6921,0,0,0,1,0,0,4,4,0,9,324,7894
